feature,importance
length_per_hashtag,0.24940125837495225
content_length,0.21379368982171423
mentions_count,0.09549640050108113
hashtag_count,0.07352240128452811
hashtag_with_image,0.06714385695330892
post_time_hour,0.05601790171490961
is_product_post,0.049333671956469156
has_mentions,0.04463023500657083
is_engagement_post,0.04310054652393168
urls_count,0.03669124478902133
post_time_day,0.030868377029683883
has_image,0.014519129940785514
is_business_hours,0.008628902222959775
is_weekend,0.008086927131598833
is_promotional,0.007168924441809913
has_hashtags,0.00136638148671212
emoji_count,0.0002301508199626269
has_price,0.0
